year,humanMass,plasticMass,notes
1907,100,10,"Leo Baekeland invented Bakelite, the first fully synthetic plastic, meaning it contained no molecules found in nature. Baekeland had been searching for a synthetic substitute for shellac, a natural electrical insulator, to meet the needs of the rapidly electrifying United States. Bakelite was not only a good insulator; it was also durable, heat resistant, and, unlike celluloid, ideally suited for mechanical mass production. Marketed as “the material of a thousand uses,” Bakelite could be shaped or molded into almost anything, providing endless possibilities."
1908,110,20,
1909,120,31,
1910,130,42,
1911,140,53,
1912,150,64,
1913,160,76,
1914,170,88,
1915,180,100,
1916,190,113,
1917,201,126,
1918,212,139,
1919,223,153,
1920,234,167,"Creation of Polyvinyl chloride, or PVC. This invention brought to the close tradition of cultivating plants who gave us natural rubber. PVC is most commonly used plastic product of the modern world."
1921,245,182,
1922,256,197,
1923,267,213,
1924,278,229,
1925,289,246,The term “Plastic” was introduced.
1926,300,263,
1927,311,281,
1928,322,299,
1929,333,318,
1930,344,338,
1931,355,358,"Plexiglas, strong and transparent type of plastic was invented in two different laboratories. It instantly becomes success."
1932,366,379,
1933,377,401,
1934,388,424,
1935,399,447,Nylon is invented and patented by DuPont
1936,410,471,"Chemist Roy Plunkett discovered Teflon, very durable and resistant plastic that is today most commonly used in kitchenware."
1937,421,496,Nylon features at the 1939 worlds fair and is famously used in stockings in 1940
1938,432,522,During World War II plastic production in the United States increased by 300%.
1939,443,549,
1940,454,577,"Five days before Japan’s surprise attack, another group of farsighted pioneers met in Detroit, MI. These were salesmen who shared a spirit of friendly rivalry and companionship due to their mutual frustration in trying to sell the then-new and unproven plastics to skeptical automotive engineers. They enjoyed meeting and sharing technical information on plastic materials and processes. Out of these meetings grew the concept of a technical society with the purpose of distributing technical information that would allow the promotion of the plastics industry. In February 1942, they incorporated the Society of Plastics Sales Engineers. Later that year the name was changed to the Society of Plastics Engineers (SPE) to encompass a more diverse membership. During the war years, SPE promoted the development of standards and the distribution of technical information while helping to educate those who were manufacturing components for the military."
1941,465,606,
1942,476,636,"In 1944, a book titled “Plastic Horizons,” by B.H. Weil and Victor Anhorn, documented the promise of plastic. A chapter titled “Plastics in a World at War” opens with a paean to the blood toll of war. But then the authors trace how war bends science to its needs for new both deadly and life-saving items: Physicists turn to aircraft detection, chemists to explosives. “Nylon for stockings has become nylon for parachutes. Rubber for tires has almost vanished, and desperate measures are required to replace it with man-made elastics.” That section concludes, “Plastics have indeed gone to war.”  “There may be no Plastics Age, but that should discourage no one; applications will multiply with the years,” they continued. “Plastics are indeed versatile materials, and industry, with the help of science, will continue to add to their number and to improve their properties. Justifiable optimism is the order of the day, and the return of peace will enable the plastics industry to fulfill its promise of things to come.”"
1943,488,667,"After the war, chronic shortages of common materials like rubber, cork, linseed oil, and paints forced chemists to scramble for substitutes, further speeding the embrace of plastics. Profitable bottling innovations included the LDPE squeeze bottle introduced by Monsanto in 1945, which paved the way for plastic bottles for soaps and shampoos"
1944,500,699,"New York hosted a National Plastics Exposition, where for the first time, a range of strong, new materials and consumer products headed for American homes were on display. One observer noted, “the public are certainly steamed up on plastics.”"
1945,512,733,"Between 1946 and 1949, Leonard Bocour and Sam Golden invented a solution acrylic paint under the brand Magna paint."
1946,524,768,"1948 – ABS was made, plastic which is today used in millions of products – from Lego pieces to golf club heads, musical instruments, car parts, and piping."
1947,536,804,"1. The year that the retractable pen was first introduced. The manufacturer, the Frawley Corporation, innovated in another way, by using ink that dried immediately. The result was that the pen, called the Paper-Mate and patented in the early 1950s, would become a massive success. "
