year,humanMass,plasticMass,notes
1951,129201700,4000000,
1952,131543100,6000000,"The Bic Ballpoint Pen: Marcel Bich, a French industrialist who had deep knowledge of the pen industry, bought out Biro’s patent in the early 1950s, a move that proved brilliant, because Bich’s company, Bic, was masterful at producing disposable devices at an incredibly low price point. More than any other company or device, Bic’s Cristal pen came to define the pen as an easily replaceable commodity, meaning that if there was a problem with the pen you were using, it was simply easier to get a hold of another pen than it would be to fix the pen that wasn’t working."
1953,133880450,9000000,"In August 1955, LIFE magazine published an article with the now-vaguely-sinister, then-celebratory title, ""Throwaway Living."""
1954,136242350,12000000,
1955,138651000,16000000,Italian firm Montecatini begin large-scale commercial production of isotactic polypropylene.
1956,141122150,21000000,
1957,143665300,26000000,"First plastic credit card: American Express charge card, which required payments in full at the end of the month. PVC plastic soon replaced the cardboard or thin, paperlike celluloid used in its contemporaries."
1958,146284350,32000000,High-density polyethylene bottles introduced and begin to replace glass bottles in most applications
1959,148978800,39000000,
1960,151747500,47000000,
1961,154592200,56000000,Disposible razor and cartridge razor was invented by American entertainer and inventor Paul Winchell
1962,157521050,67000000,
1963,160550050,80000000,"1965 – Chemist Stephanie Kwolek develops light, extremely resistive and durable plastic compound that is today known under the name of Kevlar. Today, this plastic is used by military and police in bullet resistive protective wear."
1964,163698900,95000000,
1965,166979200,112000000,"In The Graduate, one of the top movies of 1968, Dustin Hoffman’s character was urged by an older acquaintance to make a career in plastics. Audiences cringed along with Hoffman at what they saw as misplaced enthusiasm for an industry that, rather than being full of possibilities, was a symbol of cheap conformity and superficiality."
1966,170396150,132000000,
1967,173938500,155000000,
1968,177579950,182000000,"Bic brings lighters and razors to its' lineup of ultra-cheap, disposable alternatives to expensive products."
1969,181284050,214000000,"An organization called Pollution Probe was formed in 1969 by students and faculty at the University of Toronto and in 1971, members published a report stressing the need for recycling"
1970,185021850,249000000,
1971,188788000,287000000,The PET (Polyethylene Terephthalate) bottle was created.
1972,192582500,331000000,
