year,humanMass,plasticMass,population,plasticMassPerPopulation,plasticMassVs2020,notes
1951,129201700,4000000,2584034261,0.0015,0.00,
1952,131543100,6000000,2630861562,0.0023,0.00,"The Bic Ballpoint Pen: Marcel Bich, a French industrialist who had deep knowledge of the pen industry, bought out Biro’s patent in the early 1950s, a move that proved brilliant, because Bich’s company, Bic, was masterful at producing disposable devices at an incredibly low price point. More than any other company or device, Bic’s Cristal pen came to define the pen as an easily replaceable commodity, meaning that if there was a problem with the pen you were using, it was simply easier to get a hold of another pen than it would be to fix the pen that wasn’t working."
1953,133880450,9000000,2677608960,0.0034,0.00,"In August 1955, LIFE magazine published an article with the now-vaguely-sinister, then-celebratory title, ""Throwaway Living."""
1954,136242350,12000000,2724846741,0.0044,0.00,
1955,138651000,16000000,2773019936,0.0058,0.00,Italian firm Montecatini begin large-scale commercial production of isotactic polypropylene.
1956,141122150,21000000,2822443282,0.0074,0.00,
1957,143665300,26000000,2873306090,0.0090,0.00,"First plastic credit card: American Express charge card, which required payments in full at the end of the month. PVC plastic soon replaced the cardboard or thin, paperlike celluloid used in its contemporaries."
1958,146284350,32000000,2925686705,0.0109,0.00,High-density polyethylene bottles introduced and begin to replace glass bottles in most applications
1959,148978800,39000000,2979576185,0.0131,0.00,
1960,151747500,47000000,3034949748,0.0155,0.00,
1961,154592200,56000000,3091843507,0.0181,0.01,Disposible razor and cartridge razor was invented by American entertainer and inventor Paul Winchell
1962,157521050,67000000,3150420795,0.0213,0.01,
1963,160550050,80000000,3211001009,0.0249,0.01,"1965 – Chemist Stephanie Kwolek develops light, extremely resistive and durable plastic compound that is today known under the name of Kevlar. Today, this plastic is used by military and police in bullet resistive protective wear."
1964,163698900,95000000,3273978338,0.0290,0.01,
1965,166979200,112000000,3339583597,0.0335,0.01,"In The Graduate, one of the top movies of 1968, Dustin Hoffman’s character was urged by an older acquaintance to make a career in plastics. Audiences cringed along with Hoffman at what they saw as misplaced enthusiasm for an industry that, rather than being full of possibilities, was a symbol of cheap conformity and superficiality."
1966,170396150,132000000,3407922630,0.0387,0.01,
1967,173938500,155000000,3478769962,0.0446,0.02,
1968,177579950,182000000,3551599127,0.0512,0.02,"Bic brings lighters and razors to its' lineup of ultra-cheap, disposable alternatives to expensive products."
1969,181284050,214000000,3625680627,0.0590,0.02,"An organization called Pollution Probe was formed in 1969 by students and faculty at the University of Toronto and in 1971, members published a report stressing the need for recycling"
1970,185021850,249000000,3700437046,0.0673,0.03,
1971,188788000,287000000,3775759617,0.0760,0.03,The PET (Polyethylene Terephthalate) bottle was created.
1972,192582500,331000000,3851650245,0.0859,0.03,
1973,196389000,382000000,3927780238,0.0973,0.04,"Rubik's cube invented and patented in Hungary. Erno Rubik, a Hungarian architect, wanted a working model to help explain three-dimensional geometry."
1974,200189700,434000000,4003794172,0.1084,0.04,
1975,203974050,480000000,4079480606,0.1177,0.05,"Is Five organized Canada’s first multi-material curbside pickup of recyclable material for 80,000 households of The Beaches neighbourhood of east Toronto. In 1977, Jack McGinnis and Derek Stephenson created a private consulting company, Resource Integration Systems (RIS) to advise governments in the field of recycling and waste management."
1976,207733350,534000000,4154666864,0.1285,0.05,"Recyclable bottles: Coca‑Cola introduced the world to the two litre PET plastic bottle. It became popular for a lot of reasons: it doesn't break; it's re-sealable, lightweight and recyclable."
1977,211475300,593000000,4229506060,0.1402,0.06,
1978,215226700,657000000,4304533501,0.1526,0.07,Polyester film stock replaces cellulose acetate for photographic film and computer tapes.
1979,219025300,728000000,4380506100,0.1662,0.07,
1980,222900200,798000000,4458003514,0.1790,0.08,"The Dixie Bag Company, along with similar firms such as Houston Poly Bag and Capitol Poly, was instrumental in the manufacturing, marketing and perfecting of plastic bags in the 1980s. Kroger, a Cincinnati-based grocery chain, began to replace its paper shopping bags with plastic bags in 1982,[7] and was soon followed by its rival, Safeway.[7]"
1981,226849850,870000000,4536996762,0.1918,0.09,
1982,230869350,943000000,4617386542,0.2042,0.09,
1983,234978450,1023000000,4699569304,0.2177,0.10,
1984,239200600,1109000000,4784011621,0.2318,0.11,
1985,243546100,1199000000,4870921740,0.2462,0.12,"A barge of trash from NYC takes an Atlantic Cruise, getting turned away by North Carolina, Belize, Bahamas and 5 other states before returning to Brooklyn. Harrelson refused to say how much the Mobro's 6,000-mile voyage to nowhere had cost him. The price tag was believed to be nearly $1 million. The press focused America's attention on the growing national problem of solid waste management, encouraged an expansion of recycling programs and brought pressure on Congress to the pass the 1990 Clean Air/Clean Water Act."
1986,248028400,1295000000,4960567912,0.2611,0.13,First polymer bank notes issued in Australia
1987,252626100,1399000000,5052522147,0.2769,0.14,
1988,257271300,1509000000,5145426008,0.2933,0.15,"3D Printing begins: 3D Systems (Charles Hull’s company) created the world’s first stereolithographic apparatus (SLA) machine, which made it possible to fabricate complex parts, layer by layer, in a fraction of the time it would normally take. That same year, startup DTM produced the world’s first selective laser sintering (SLS) machine—which shoots a laser at a powder instead of a liquid."
1989,261872100,1623000000,5237441558,0.3099,0.16,
1990,266361550,1743000000,5327231061,0.3272,0.18,
1991,270714450,1867000000,5414289444,0.3448,0.19,"Patagonia working with R&D company Malden Mills, develop recycled polyester from PET bottles for use in our Synchilla fleece."
