year,Population
2016,7334771614
2017,7412778971
2018,7490427640
2019,7567402977
2020,7643402123
2021,7718256830
2022,7792021317
2023,7864725370
2024,7936271554
2025,8006580553
2026,8075716000
2027,8143729466
2028,8210559895
2029,8276190519
2030,8340606590
2031,8403880343
2032,8466094022
2033,8527246205
2034,8587325154
2035,8646304704
2036,8704239274
2037,8761189197
2038,8817138785
2039,8872066537
2040,8925949679
2041,8978822945
2042,9030723366
2043,9081617002
2044,9131462326
2045,9180225214
2046,9227935007
2047,9274616811
2048,9320232984
2049,9364750182
